date,pred_PM25,indice_pred,AQI_pred,zone,id_station
01/01/2021,20.949994115174615,69.612,Regular,CE,BJU
01/01/2021,10.945226727297204,45.605,Buena,NE,GAM
01/01/2021,13.97699576130075,54.947,Regular,CE,HGM
01/01/2021,6.027090823008004,25.113,Buena,SO,INN
01/01/2021,20.218491787615342,68.073,Regular,CE,MER
01/01/2021,-4.191740061622117,0.0,Buena,NE,MON
01/01/2021,-3.005019759950014,0.0,Buena,SE,MPA
01/01/2021,3.8291920122718563,15.955,Buena,NE,NEZ
01/01/2021,14.574154278384782,56.203,Regular,SO,PED
01/01/2021,9.462573996358579,39.427,Buena,NE,SAG
01/01/2021,14.016856884242202,55.031,Regular,SO,SFE
01/01/2021,11.997145022639593,49.988,Buena,NO,TLA
01/01/2021,5.089319196488966,21.205,Buena,SE,UAX
01/01/2021,9.333736320078579,38.891,Buena,SE,UIZ
01/01/2021,9.29740407379149,38.739,Buena,NE,XAL
01/02/2021,24.14266360976963,76.326,Regular,CE,BJU
01/02/2021,14.960521735012208,57.016,Regular,NE,GAM
01/02/2021,11.334962806337355,47.229,Buena,CE,HGM
01/02/2021,30.21055425275152,89.087,Regular,SO,INN
01/02/2021,7.4796112095639895,31.165,Buena,NE,MON
01/02/2021,10.430152835865524,43.459,Buena,SE,MPA
01/02/2021,11.587355682137964,48.281,Buena,NE,NEZ
01/02/2021,19.378493027365337,66.307,Regular,SO,PED
01/02/2021,19.524919087360278,66.615,Regular,NE,SAG
01/02/2021,27.17080739363372,82.694,Regular,SO,SFE
01/02/2021,17.652680461385923,62.677,Regular,NO,TLA
01/02/2021,14.62082285041077,56.301,Regular,SE,UAX
01/02/2021,8.628523365294308,35.952,Buena,NE,XAL
01/03/2021,33.58865053876974,96.191,Regular,CE,BJU
01/03/2021,24.335010896886036,76.73,Regular,NE,GAM
01/03/2021,25.002603809640622,78.134,Regular,CE,HGM
01/03/2021,25.180989133371416,78.509,Regular,SO,INN
01/03/2021,17.99690502860839,63.401,Regular,NE,MON
01/03/2021,14.050545427285615,55.102,Regular,SE,MPA
01/03/2021,22.77838194636287,73.457,Regular,NE,NEZ
01/03/2021,20.64926231521666,68.979,Regular,SO,PED
01/03/2021,26.50890728688325,81.302,Regular,SO,SFE
01/03/2021,23.569622137018914,75.121,Regular,NO,TLA
01/03/2021,24.550761401842706,77.184,Regular,SE,UAX
01/03/2021,29.108872714656126,86.77,Regular,SE,UIZ
01/04/2021,19.855479863254253,67.31,Regular,CE,BJU
01/04/2021,7.3048589208812755,30.437,Buena,NE,GAM
01/04/2021,13.948281465736663,54.887,Regular,CE,HGM
01/04/2021,17.552792039710443,62.467,Regular,SO,INN
01/04/2021,-0.23455676075332726,0.0,Buena,NE,MON
01/04/2021,4.617842162318344,19.241,Buena,SE,MPA
01/04/2021,7.609210670506152,31.705,Buena,NE,NEZ
01/04/2021,10.926669002548046,45.528,Buena,SO,PED
01/04/2021,15.620851793578176,58.404,Regular,NO,TLA
01/04/2021,9.541649879919714,39.757,Buena,SE,UAX
01/04/2021,0.5769954215921265,2.404,Buena,NE,XAL
